"IRD_ID","IRD_VEH_ID","IRD_TRIP_ID","IRD_DEV_START_AT","IRD_DEV_END_AT","IRD_DEV_START_LOC","IRD_DEV_START_CITY","IRD_DEV_START_DIS","IRD_DEV_START_STATE","IRD_DEV_END_LOC","IRD_DEV_END_CITY","IRD_DEV_END_DIS","IRD_DEV_END_STATE","IRD_DEV_DUR_IN_MINS","IRD_DEV_CREATED_AT","IRD_DEV_CREATED_BY","IRD_DEV_UPDATED_AT","IRD_DEV_UPDATED_BY","IRD_DEV_MSG","IRD_IS_DONE","IS_CHECKED"
160802,"6628","0682067663","2015-10-09 11:58:37","2015-10-09 12:05:38","0.07 Km. S From Changali Wala","Jagadhri"," Yamunanagar","Haryana","0.10 Km. NW From Reliance Petroleum Petrol Pump","Jagadhri"," Yamunanagar","Haryana",7,"2015-10-09 12:23:41","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160801,"3200","0682067532","2015-10-09 10:46:02","2015-10-09 11:02:00","0.41 Km. S From Saini Vishno Dhaba","Karnal"," Karnal","Haryana","0.27 Km. S From Hindustan Petroleum","Indri"," Karnal","Haryana",15,"2015-10-09 12:22:38","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160800,"6106","0682067481","2015-10-09 11:12:49","2015-10-09 12:05:09","0.03 Km.  NE From Lovato , HBR Layout",", HBR Layout;","  HBR Layout;Banglore,Banglore","Karnataka","0.02 Km.  W From RMC Shell , Yesvantpur Industrial Area",", Yesvantpur Industrial Area;","  Yesvantpur Industrial Area;Banglore,Banglore","Karnataka",52,"2015-10-09 12:21:49","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160799,"6106","0682067481","2015-10-09 10:17:33","2015-10-09 10:51:57","0.10 Km. E From Indian Oil Corporation Ltd.","Hosakote"," Bangalore (Rural)","Karnataka","0.03 Km.  N From Karnataka Trade Promotion Organigation , B Narayanapura",", B Narayanapura;","  B Narayanapura;Banglore,Banglore","Karnataka",34,"2015-10-09 12:21:47","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160798,"4247","0682067007","2015-10-09 08:56:13","2015-10-09 09:32:01","0.10 Km. SE From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab","0.11 Km. N From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab",35,"2015-10-09 12:18:25","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160797,"6778","0682067068","2015-10-09 10:46:14","2015-10-09 11:51:05","0.89 Km. E From chikka tirupathi","Hosur"," Dharmapuri","Tamil Nadu","0.12 Km. SE From Shetron","Banglore"," Banglore","Karnataka",64,"2015-10-09 12:17:11","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160796,"7777","0682066382","2015-10-09 09:47:53","2015-10-09 09:53:28","0.11 Km. SE From Kapasera Police Staion","Delhi"," Delhi","Delhi","0.08 Km. W From Shiv Murti Petrol Pump","Delhi"," Delhi","Delhi",5,"2015-10-09 12:10:08","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160795,"5618","0682066168","2015-10-09 09:31:30","2015-10-09 09:42:05","0.17 Km. S From HASSAN TOP","Hassan"," Hassan","Karnataka","0.10 Km. SW From HASSAN TOP","Hassan"," Hassan","Karnataka",10,"2015-10-09 12:09:03","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160794,"7768","0682068114","2015-10-09 10:35:35","2015-10-09 10:55:49","0.04 Km. N From ICICI Bank","Delhi"," Delhi","Delhi","0.03 Km. NW  From IOCL , Janakpuri",", Janakpuri;","  Janakpuri;Delhi,Delhi","Delhi",20,"2015-10-09 12:07:34","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160793,"7768","0682068114","2015-10-09 10:05:37","2015-10-09 10:15:34","0.08 Km. SW From Shiksha Bharati Public School","Delhi"," Delhi","Delhi","0.13 Km. N From Shiv Shakti Clinic","Delhi"," Delhi","Delhi",9,"2015-10-09 12:07:29","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160792,"7768","0682068114","2015-10-09 09:53:05","2015-10-09 09:58:32","0.35 Km. S  From Makki , Bharthal",", Bharthal;","  Bharthal;Delhi,Delhi","Delhi","0.05 Km. S From Mb Janki Chowk","Delhi"," Delhi","Delhi",5,"2015-10-09 12:07:28","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160791,"7768","0682068114","2015-10-09 09:31:38","2015-10-09 09:39:33","0.29 Km. NW From DELHI TERMINAL","Delhi"," Delhi","Delhi","0.03 Km. N From DELHI TERMINAL","Delhi"," Delhi","Delhi",7,"2015-10-09 12:07:25","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160790,"2939","0682068011","2015-10-09 09:32:21","2015-10-09 09:38:22","0.07 Km. NE From SIDDARTH FILLING STATION","Ambala"," Ambala","Haryana","0.05 Km. S From SIDDARTH FILLING STATION","Ambala"," Ambala","Haryana",6,"2015-10-09 12:06:33","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
