CAVL_SERV_PROVIDER|TRIP NO|Carrier No|TYPE OF CLOSURE|CLOSURE LOCATION|CLOSURE DATE & TIME|TOTAL TRIP DISTANCE|TOTAL DELIVERY TIME|TOTAL STOPPAGE TIME|STOPPAGE AT TOLLS|STOPPAGE AT SATE BORDER|STOPPAGE AT DEALER|Harsh Braking instances|Over speeding Instances|Night Driving Instances (2:00 AM to 5:00 AM)|DAY0|DAY1|DAY2|DAY3|DAY4|DAY5|DAY6|DAY7|DAY8|DAY9|DAY10|DAY11|DAY12|DAY13|DAY14|DAY15|DAY16|DAY17|DAY18|DAY19|DAY20
EFKON|1116914|HR55J9480|P|NELAMANGALA|17-Aug-2015 05:13|||43:51:6||||0|0|0|12|0|18||||||||||||||||||
EFKON|1116914|HR55J9480|A|KALYANI MOTORS-BANGALORE|17-Aug-2015 05:58|46|45:53:50|43:51:6||||0|0|0|12|0|34||||||||||||||||||
EFKON|4564303|HR55J9664|A|MAHALAXMI AUTOMOTIVES-PUNE|17-Aug-2015 01:32|4986|565:20:58|428:9:56|0:10:0|0:47:39||2|50|2|2|52|385|247|317|241|296|0|26|331|486|461|210|372|0|322|0|0|0|0|322
EFKON|4590025|HR55K0236|P|KAMERI|17-Aug-2015 15:21|||146:41:34|0:52:51|0:46:37||0|22|1|21|0|0|0|468|363|351|191|375||||||||||||
EFKON|4590025|HR55K0236|A|SAI SERVICE STATION-KOLHAPUR|17-Aug-2015 15:51|1784|192:14:52|146:51:33|0:52:51|0:46:37||0|22|1|21|0|0|0|468|363|351|191|391||||||||||||
EFKON|4595945|HR55K2285|A|KATARIA AUTOMOBILES-VAPI|17-Aug-2015 10:17|1272|105:55:4|69:32:12||13:17:0||0|5|0|4|365|441|358|103||||||||||||||||
EFKON|4595945|HR55K2285|A|KATARIA AUTOMOBILES-VAPI|17-Aug-2015 10:17|1272|105:55:4|69:32:12||13:17:0||0|5|0|4|365|441|358|103||||||||||||||||
EFKON|4591693|HR55K3247|A|POPULR VEHICLES AND SERVICES-THRISSUR|17-Aug-2015 15:26|2165|162:45:19|109:35:33|0:9:58|2:3:55||4|17|2|19|143|487|326|283|400|265|243|||||||||||||
EFKON|4591690|HR55K3247|A|SAI SERVICES-COCHIN|17-Aug-2015 15:26|2165|162:45:19|109:35:33|0:9:58|2:3:55||4|17|2|19|143|487|326|283|400|265|243|||||||||||||
EFKON|4591692|HR55K3247|A|POPULAR VEHICLES AND SERVICES-CALICUT|17-Aug-2015 15:26|2165|162:45:19|109:35:33|0:9:58|2:3:55||4|17|2|19|143|487|326|283|400|265|243|||||||||||||
EFKON|4591694|HR55K3247|A|AVG MOTORS-PATHANAMTHITTA|17-Aug-2015 15:26|2165|162:45:19|109:35:33|0:9:58|2:3:55||4|17|2|19|143|487|326|283|400|265|243|||||||||||||
EFKON|4591695|HR55K3247|A|SAI SERVICES-COCHIN|17-Aug-2015 15:26|2165|162:45:19|109:35:33|0:9:58|2:3:55||4|17|2|19|143|487|326|283|400|265|243|||||||||||||
EFKON|4591691|HR55K3247|A|INDUS MOTORS-TRIVANDRUM|17-Aug-2015 15:26|2165|162:45:19|109:35:33|0:9:58|2:3:55||4|17|2|19|143|487|326|283|400|265|243|||||||||||||
EFKON|4595716|HR55K3708|A|SK WHEELS-RAIGAD|17-Aug-2015 05:19|1413|102:13:15|65:38:54||0:21:28||0|12|1|0|0|452|470|400|91|||||||||||||||
EFKON|4595716|HR55K3708|A|SIMRAN MOTORS-PANVEL|17-Aug-2015 04:25|1402|101:19:10|65:18:28||0:21:28||0|12|1|0|0|452|470|400|80|||||||||||||||
EFKON|4590336|HR55K4814|P|VARUN MOTORS-HYDERABAD|17-Aug-2015 02:09|||99:39:47|1:11:44|1:2:38||5|7|4|0|10|390|0|354|462|455|149|69||||||||||||
EFKON|4590336|HR55K4814|A|VARUN MOTORS-HYDERABAD|17-Aug-2015 02:10|1889|175:59:0|99:40:23|1:11:44|1:2:38||5|7|4|0|10|390|0|354|462|455|149|69||||||||||||
EFKON|4590336|HR55K4814|A|VARUN MOTORS-HYDERABAD|17-Aug-2015 02:10|1889|175:59:0|99:40:23|1:11:44|1:2:38||5|7|4|0|10|390|0|354|462|455|149|69||||||||||||
EFKON|4591059|HR55K5240|A|INDUS MOTORS-TRIVANDRUM|17-Aug-2015 10:40|2203|161:25:58|99:27:11|1:20:39|0:59:40||0|9|1|41|33|451|376|313|502|301|186|||||||||||||
EFKON|4591058|HR55K5240|A|INDUS MOTORS-TRIVANDRUM|17-Aug-2015 10:40|2203|161:25:58|99:27:11|1:20:39|0:59:40||0|9|1|41|33|451|376|313|502|301|186|||||||||||||
EFKON|4591057|HR55K5240|A|INDUS MOTORS-CALICUT|17-Aug-2015 10:40|2203|161:25:58|99:27:11|1:20:39|0:59:40||0|9|1|41|33|451|376|313|502|301|186|||||||||||||
EFKON|4591056|HR55K5240|A|INDUS MOTORS-CALICUT|17-Aug-2015 10:40|2203|161:25:58|99:27:11|1:20:39|0:59:40||0|9|1|41|33|451|376|313|502|301|186|||||||||||||
EFKON|4591055|HR55K5240|A|INDUS MOTORS-CALICUT|17-Aug-2015 10:40|2203|161:25:58|99:27:11|1:20:39|0:59:40||0|9|1|41|33|451|376|313|502|301|186|||||||||||||
EFKON|4591054|HR55K5240|A|INDUS MOTORS-CALICUT|17-Aug-2015 10:40|2203|161:25:58|99:27:11|1:20:39|0:59:40||0|9|1|41|33|451|376|313|502|301|186|||||||||||||
EFKON|4591052|HR55K5240|A|A M MOTORS-MALAPPURAM|17-Aug-2015 10:40|2203|161:25:58|99:27:11|1:20:39|0:59:40||0|9|1|41|33|451|376|313|502|301|186|||||||||||||
EFKON|4591053|HR55K5240|A|POPULAR VEHICLES AND SERVICES-TRIVANDRUM|17-Aug-2015 10:40|2203|161:25:58|99:27:11|1:20:39|0:59:40||0|9|1|41|33|451|376|313|502|301|186|||||||||||||
EFKON|4590947|HR55K8921|A|MANDOVI MOTORS-BANGALORE|17-Aug-2015 10:30|2207|161:58:22|103:51:47|1:7:39|1:16:18||0|35|1|32|33|488|341|315|511|301|186|||||||||||||
EFKON|4590950|HR55K8921|A|SOLAMALAI AUTOMOBILES-MADURAI|17-Aug-2015 10:30|2207|161:58:22|103:51:47|1:7:39|1:16:18||0|35|1|32|33|488|341|315|511|301|186|||||||||||||
EFKON|4590951|HR55K8921|A|SKCARS-SALEM|17-Aug-2015 10:30|2207|161:58:22|103:51:47|1:7:39|1:16:18||0|35|1|32|33|488|341|315|511|301|186|||||||||||||
EFKON|4590945|HR55K8921|A|GANESH CARS-VELLORE|17-Aug-2015 10:30|2207|161:58:22|103:51:47|1:7:39|1:16:18||0|35|1|32|33|488|341|315|511|301|186|||||||||||||
EFKON|4590949|HR55K8921|A|GARUDA AUTOCRAFT-BANGALORE|17-Aug-2015 10:30|2207|161:58:22|103:51:47|1:7:39|1:16:18||0|35|1|32|33|488|341|315|511|301|186|||||||||||||
EFKON|4590948|HR55K8921|A|MANDOVI MOTORS-BANGALORE|17-Aug-2015 10:30|2207|161:58:22|103:51:47|1:7:39|1:16:18||0|35|1|32|33|488|341|315|511|301|186|||||||||||||
EFKON|4590952|HR55K8921|A|PILLAI  AND  SONS MOTOR-THANJAVUR|17-Aug-2015 10:30|2207|161:58:22|103:51:47|1:7:39|1:16:18||0|35|1|32|33|488|341|315|511|301|186|||||||||||||
