S.No,New Device Number,NewMobileNumber,NewInstallation,INSTALLEDON,VehicleNumber,TransporterName,01-AUG'-15,02-AUG'-15,03-AUG'-15,04-AUG'-15,05-AUG'-15,06-AUG'-15,07-AUG'-15,08-AUG'-15,09-AUG'-15,10-AUG'-15,11-AUG'-15,12-AUG'-15,13-AUG'-15,14-AUG'-15,15-AUG'-15,16-AUG'-15,17-AUG'-15,18-AUG'-15,19-AUG'-15,20-AUG'-15,21-AUG'-15,22-AUG'-15,23-AUG'-15,24-AUG'-15,25-AUG'-15,26-AUG'-15,27-AUG'-15,28-AUG'-15,29-AUG'-15,30-AUG'-15,31-AUG'-15,R,P,UM,UI,N,UI+N,BILLING YES/NO,Remark
970,QCQ1205419,7710035680,OL001/01001,6-Jan-12,HR55K4815,ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
971,QCQ1102773,8879614148,OL001/01002,6-Jan-12,RJ14GC5827,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
972,QCQ1204417,8879690418,OL001/01003,6-Jan-12,NL01G5724,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
973,QCQ1100832,8879442723,OL001/01004,6-Jan-12,HR55J7184,AXISCARRIERSANDLOGISTICSPVT.LTD,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,29,2,0,0,0,0,YES,
974,QCQ1101886,8879442881,OL001/01005,6-Jan-12,HR55K9285,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
975,QCQ1102286,8879613654,OL001/01007,6-Jan-12,NL01G8263,AXISCARRIERSANDLOGISTICSPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
976,QCQ1102509,8879613880,OL001/01008,6-Jan-12,HR55L8497,VINODROADLINESPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
977,QCQ1203893,8879678535,OL001/01009,6-Jan-12,RJ14GF9493,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
978,QCQ1100465,8879442351,OL001/01010,6-Jan-12,HR55H6114,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
979,QCQ1203689,8879678329,OL001/01011,6-Jan-12,RJ14GD4264,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
980,EEB1500318,7506929357,OL001/01012,6-Jan-12,RJ14GD0935,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
981,QCQ1203794,8879678435,OL001/01013,6-Jan-12,HR55J5711,Chetak International Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
982,QCQ1204379,8879690379,OL001/01014,6-Jan-12,NL01G7070,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
983,QCQ1101825,8879613185,OL001/01015,6-Jan-12,HR55K3242,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
984,EEB1500396,7506731174,OL001/01016,6-Jan-12,RJ09GA9063,K M TRANS LOGISTICS PVT. LTD,R,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,1,0,0,0,0,YES,
985,QCQ1101941,8879613303,OL001/01017,6-Jan-12,HR55U1350,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
986,QCQ1204665,8879613670,OL001/01018,6-Jan-12,RJ14GD4437,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
987,QCQ1101922,8879613283,OL001/01019,6-Jan-12,NL01G3958,KISHORETRANSPORT,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
988,QCQ1101425,8879612779,OL001/01020,6-Jan-12,NL01G5801,KISHORETRANSPORT,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
989,QCQ1101329,8879612682,OL001/01021,6-Jan-12,HR55J5715,Chetak International Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
990,QCQ1204646,8879676815,OL001/01022,6-Jan-12,NL02G1000,OSLLOGISTICSPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
991,QCQ1101105,8879612455,OL001/01023,6-Jan-12,HR55K6732,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
992,QCQ1101481,8879612837,OL001/01024,6-Jan-12,HR55L5697,SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
993,QCQ1102149,8879613515,OL001/01025,6-Jan-12,HR55K0541,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
994,QCQ1204881,7738907898,OL001/01026,6-Jan-12,HR55N4104,Chetak Cargo private Limited,R,N,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,8,22,0,0,1,1,YES,
995,QCQ1102096,8879613461,OL001/01027,6-Jan-12,NL01G4392,KISHORETRANSPORT,P,P,P,P,P,P,P,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,1,30,0,0,0,0,YES,
996,QCQ1101985,8879613348,OL001/01028,6-Jan-12,HR55J3787,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
997,QCQ1100922,8879442815,OL001/01029,6-Jan-12,NL01G5638,AXISCARRIERSANDLOGISTICSPVT.LTD,P,R,P,R,R,P,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,5,26,0,0,0,0,YES,
998,QCQ1102766,8879614140,OL001/01030,6-Jan-12,RJ14GF9553,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
999,QCQ1100116,8879460168,OL001/01031,6-Jan-12,HR55J8222,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1000,QCQ1101306,8879612659,OL001/01006,6-Jan-12,HR55J9480,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1001,QCQ1102312,8879613680,OL001/01032,7-Jan-12,MH04EY8515,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1002,QCQ1305926,9440312655,OL001/01033,7-Jan-12,HR55K1316,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1003,QCQ1101819,8879613179,OL001/01034,7-Jan-12,HR55M3108,ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1004,QCQ1102615,8879613987,OL001/01035,7-Jan-12,NL01K5514,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1005,QCQ1100471,8879442357,OL001/01036,7-Jan-12,HR55K1454,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1006,QCQ1204922,8879697470,OL001/01037,7-Jan-12,RJ14GC4969,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1007,QCQ1203752,8879678392,OL001/01038,7-Jan-12,HR55N3625,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1008,QCQ1204471,8879690472,OL001/01039,7-Jan-12,HR55H8519,ICM LOGISTICS PVT LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
1009,QCQ1203511,8879678149,OL001/01040,7-Jan-12,RJ09GA5988,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1010,QCQ1101381,8879612658,OL001/01041,7-Jan-12,NL01G7382,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1011,QCQ1102817,8879614192,OL001/01044,7-Jan-12,NL01G8552,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1012,QCQ1204127,8879678873,OL001/01045,7-Jan-12,HR55K1469,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1013,QCQ1102703,8879614076,OL001/01046,7-Jan-12,HR55J3444,Chetak International Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1014,EEB1500217,7506928525,OL001/01047,7-Jan-12,NL01G5619,KISHORETRANSPORT,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,0,0,0,6,6,YES,
1015,QCQ1102882,8879614258,OL001/01049,7-Jan-12,NL01G6493,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1016,QCQ1102174,8879613540,OL001/01050,7-Jan-12,NL01G6106,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,28,0,0,0,3,3,YES,
1017,QCQ1204125,8879678871,OL001/01051,7-Jan-12,UK04CA9138,Chetak International Private Limited,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
1018,QCQ1204001,8879678744,OL001/01052,7-Jan-12,RJ14GB4832,SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1019,QCQ1203743,8879678383,OL001/01053,7-Jan-12,RJ14GD2514,SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1020,QCQ1101590,8879612947,OL001/01054,7-Jan-12,NL01G9024,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1021,QCQ1100152,8879460205,OL001/01056,7-Jan-12,MH04EY8517,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1022,QCQ1100495,8879442381,OL001/01057,7-Jan-12,HR55M7609,Chetak Supply Chain Private Limited,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,4,27,0,0,0,0,YES,
1023,QCQ1101838,8879613198,OL001/01058,7-Jan-12,NL02G9008,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1024,QCQ1204928,8879697476,OL001/01059,7-Jan-12,NL02G0967,OSLLOGISTICSPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
1025,QCQ1101388,8879612742,OL001/01060,7-Jan-12,HR55G5513,TVS RHR FINISHED VEHILCES LOGISTICS,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1026,EEB1500365,7506932780,OL001/01061,7-Jan-12,HR55K1808,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1027,QCQ1203967,8879678710,OL001/01043,7-Jan-12,NL01G7534,AXISCARRIERSANDLOGISTICSPVT.LTD,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,6,0,0,0,0,YES,
1028,QCQ1101796,8879613156,OL001/01048,7-Jan-12,HR47A6719,ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1029,QCQ1102733,8879614107,OL001/01062,8-Jan-12,HR55K3252,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1030,QCQ1102052,8879613416,OL001/01063,8-Jan-12,HR55K4875,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1031,QCQ1100492,8879442378,OL001/01064,8-Jan-12,HR55J5615,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1032,QCQ1103357,8879613159,OL001/01065,8-Jan-12,NL01G4801,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1033,QCQ1101068,8879612418,OL001/01066,9-Jan-12,HR55J8157,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1034,QCQ1101499,8879612855,OL001/01067,9-Jan-12,RJ14GC5416,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,26,5,0,0,0,0,YES,
1035,QCQ1203845,8879678486,OL001/01068,9-Jan-12,HR55N4363,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1036,QCQ1103246,8879677876,OL001/01069,9-Jan-12,NL01G7532,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,8,23,0,0,0,0,YES,
1037,QCQ1100783,8879442673,OL001/01070,9-Jan-12,NL01G5728,AXISCARRIERSANDLOGISTICSPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
1038,QCQ1102316,8879613684,OL001/01071,9-Jan-12,HR55K3239,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1039,QCQ1102221,8879613587,OL001/01072,9-Jan-12,HR55K4610,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,P,P,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,7,24,0,0,0,0,YES,
1040,QCQ1101792,8879613152,OL001/01073,9-Jan-12,HR55U9703,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1041,QCQ1101186,8879678086,OL001/01074,9-Jan-12,RJ14GD6328,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1042,QCQ1204908,8879697456,OL001/01075,9-Jan-12,RJ14GD4648,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1043,QCQ1101462,8879612818,OL001/01076,9-Jan-12,HR55J4116,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1044,QCQ1103484,8879678122,OL001/01077,9-Jan-12,NL01G7004,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1045,QCQ1101989,8879613352,OL001/01078,9-Jan-12,NL01G7075,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,1,0,0,0,0,YES,
1046,QCQ1101997,8879613360,OL001/01079,9-Jan-12,MH04EY6533,AXISCARRIERSANDLOGISTICSPVT.LTD,UI,UI,UI,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,27,0,0,4,0,4,YES,
1047,QCQ1100588,8879442476,OL001/01080,9-Jan-12,HR55M3101,ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1048,QCQ1203812,8879676927,OL001/01081,9-Jan-12,HR55K3744,Chetak International Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1049,QCQ1101526,8879612882,OL001/01082,9-Jan-12,NL01G5466,AXISCARRIERSANDLOGISTICSPVT.LTD,R,UI,UI,UI,UI,UI,UI,UI,UI,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,22,0,0,9,0,9,YES,
1050,QCQ1102079,8879613443,OL001/01083,9-Jan-12,NL01G5624,AXISCARRIERSANDLOGISTICSPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
1051,QCQ1100046,8879460278,OL001/01084,9-Jan-12,RJ14GC5820,SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1052,QCQ1100145,8879460147,OL001/01085,9-Jan-12,RJ14GB7938,SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1053,QCQ1102072,8879613436,OL001/01086,9-Jan-12,RJ14GC6367,SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1054,QCQ1101475,8879612831,OL001/01087,9-Jan-12,NL02G3213,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1055,QCQ1100265,8879442139,OL001/01088,9-Jan-12,NL02G0945,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1056,QCQ1204858,8879697410,OL001/01089,9-Jan-12,NL02G0989,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1057,QCQ1102108,8879613473,OL001/01090,9-Jan-12,HR69B5660,VINODROADLINESPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1058,QCQ1102016,8879613379,OL001/01091,9-Jan-12,HR55J5746,CHETAKLOGISTICS,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,NO,
1059,QCQ1100787,8879442677,OL001/01092,9-Jan-12,NL01G7931,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1060,QCQ1203868,8879678510,OL001/01093,9-Jan-12,HR55U3457,Chetak International Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1061,QCQ1100972,8879442865,OL001/01094,9-Jan-12,NL01G9026,AXISCARRIERSANDLOGISTICSPVT.LTD,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,21,0,0,10,0,10,YES,
1062,QCQ1203566,8879678205,OL001/01095,9-Jan-12,HR55J8224,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1063,QCQ1204215,8879645785,OL001/01096,9-Jan-12,NL01G6109,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,6,25,0,0,0,0,YES,
1064,QCQ1102982,8879614359,OL001/01097,10-Jan-12,HR55K9287,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,6,25,0,0,0,0,YES,
1065,QCQ1204237,9167240081,OL001/01098,10-Jan-12,NL01G4962,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,P,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,8,23,0,0,0,0,YES,
1066,QCQ1100735,8879442625,OL001/01099,10-Jan-12,NL01G7059,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1067,QCQ1101926,8879613287,OL001/01100,10-Jan-12,RJ14GE9780,SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
1068,QCQ1103107,8879618757,OL001/01101,10-Jan-12,HR55J3788,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
